456	0.105	0.104	0.107	0.101	0.103	0.105	0.105	0.104	0.109	0.106	0.107	0.108	0.106	0.106	0.108	0.105	0.107	0.109	0.103	0.103	0.105	0.101	0.102	0.103	0.106	0.103	0.108	0.106	0.107	0.107	0.106	0.105	0.106	0.105	0.105	0.109
480	0.105	0.104	0.107	0.101	0.104	0.106	0.105	0.104	0.109	0.105	0.108	0.108	0.107	0.106	0.107	0.106	0.107	0.109	0.103	0.103	0.105	0.102	0.102	0.103	0.106	0.103	0.109	0.107	0.108	0.107	0.107	0.105	0.106	0.105	0.104	0.109
504	0.106	0.104	0.107	0.102	0.104	0.106	0.106	0.104	0.109	0.107	0.108	0.109	0.106	0.106	0.107	0.106	0.107	0.109	0.103	0.103	0.106	0.102	0.103	0.104	0.106	0.103	0.109	0.107	0.108	0.107	0.107	0.105	0.106	0.107	0.106	0.109
528	0.106	0.104	0.107	0.102	0.104	0.106	0.106	0.104	0.109	0.106	0.108	0.108	0.107	0.106	0.107	0.106	0.108	0.11	0.103	0.103	0.106	0.103	0.103	0.104	0.106	0.103	0.108	0.107	0.108	0.108	0.107	0.105	0.107	0.105	0.105	0.109
552	0.106	0.104	0.107	0.102	0.105	0.107	0.106	0.104	0.109	0.107	0.108	0.108	0.107	0.106	0.108	0.107	0.108	0.111	0.104	0.103	0.106	0.103	0.103	0.104	0.106	0.103	0.109	0.107	0.108	0.108	0.107	0.105	0.106	0.106	0.105	0.11
576	0.106	0.104	0.108	0.102	0.105	0.107	0.105	0.104	0.109	0.106	0.107	0.109	0.106	0.106	0.108	0.107	0.108	0.11	0.104	0.103	0.106	0.103	0.104	0.105	0.106	0.104	0.109	0.107	0.108	0.108	0.107	0.105	0.106	0.106	0.106	0.11
600	0.106	0.104	0.108	0.103	0.105	0.107	0.106	0.104	0.109	0.106	0.108	0.109	0.107	0.106	0.108	0.107	0.108	0.11	0.104	0.103	0.106	0.103	0.104	0.104	0.106	0.103	0.109	0.107	0.108	0.108	0.107	0.105	0.106	0.106	0.105	0.11
624	0.106	0.105	0.108	0.103	0.105	0.107	0.106	0.104	0.109	0.106	0.108	0.109	0.107	0.106	0.108	0.107	0.108	0.111	0.104	0.103	0.106	0.103	0.104	0.105	0.106	0.103	0.109	0.107	0.108	0.108	0.107	0.105	0.106	0.106	0.105	0.11
648	0.106	0.104	0.108	0.103	0.105	0.108	0.106	0.104	0.109	0.106	0.108	0.109	0.107	0.106	0.107	0.107	0.108	0.111	0.104	0.104	0.106	0.104	0.104	0.105	0.107	0.104	0.109	0.107	0.108	0.108	0.107	0.105	0.107	0.106	0.107	0.11
672	0.106	0.104	0.108	0.103	0.105	0.107	0.106	0.104	0.109	0.106	0.108	0.109	0.107	0.106	0.107	0.107	0.109	0.111	0.104	0.103	0.106	0.104	0.104	0.105	0.107	0.103	0.109	0.108	0.108	0.108	0.107	0.105	0.106	0.106	0.106	0.11
696	0.106	0.105	0.108	0.103	0.106	0.107	0.106	0.104	0.11	0.106	0.108	0.109	0.107	0.106	0.108	0.107	0.109	0.111	0.104	0.103	0.106	0.104	0.104	0.105	0.107	0.103	0.109	0.108	0.108	0.109	0.107	0.105	0.106	0.106	0.106	0.11
720	0.106	0.105	0.108	0.103	0.106	0.107	0.106	0.104	0.11	0.106	0.108	0.109	0.106	0.106	0.107	0.107	0.109	0.11	0.104	0.103	0.106	0.104	0.104	0.105	0.107	0.103	0.109	0.108	0.108	0.108	0.107	0.105	0.106	0.106	0.106	0.11
744	0.106	0.105	0.108	0.103	0.106	0.108	0.106	0.105	0.109	0.107	0.108	0.109	0.106	0.106	0.108	0.107	0.109	0.111	0.104	0.103	0.106	0.104	0.105	0.105	0.107	0.103	0.109	0.108	0.108	0.108	0.106	0.105	0.106	0.107	0.106	0.11
768	0.106	0.105	0.108	0.103	0.106	0.108	0.106	0.105	0.109	0.106	0.108	0.109	0.107	0.106	0.107	0.108	0.109	0.111	0.104	0.104	0.106	0.104	0.105	0.105	0.107	0.103	0.108	0.108	0.108	0.108	0.107	0.105	0.107	0.107	0.107	0.11
792	0.106	0.105	0.108	0.103	0.106	0.108	0.106	0.104	0.109	0.106	0.108	0.109	0.106	0.106	0.107	0.108	0.109	0.112	0.104	0.103	0.106	0.104	0.105	0.105	0.106	0.103	0.109	0.108	0.108	0.108	0.107	0.105	0.106	0.107	0.106	0.111
816	0.106	0.105	0.108	0.104	0.106	0.108	0.106	0.104	0.109	0.106	0.109	0.109	0.107	0.106	0.107	0.108	0.109	0.111	0.104	0.104	0.106	0.104	0.105	0.105	0.107	0.103	0.109	0.108	0.109	0.108	0.107	0.105	0.106	0.107	0.106	0.111
840	0.106	0.105	0.107	0.104	0.106	0.107	0.106	0.104	0.11	0.106	0.109	0.109	0.107	0.106	0.107	0.108	0.109	0.112	0.104	0.103	0.106	0.104	0.105	0.105	0.107	0.103	0.109	0.108	0.109	0.109	0.107	0.105	0.107	0.107	0.106	0.11
864	0.106	0.105	0.108	0.104	0.106	0.108	0.106	0.104	0.11	0.106	0.109	0.109	0.107	0.106	0.107	0.108	0.109	0.112	0.104	0.103	0.106	0.104	0.105	0.105	0.107	0.103	0.109	0.108	0.109	0.108	0.107	0.106	0.106	0.107	0.106	0.11
888	0.106	0.105	0.108	0.104	0.106	0.109	0.106	0.104	0.11	0.106	0.109	0.109	0.107	0.106	0.108	0.108	0.109	0.112	0.104	0.104	0.106	0.104	0.105	0.106	0.107	0.104	0.108	0.108	0.109	0.108	0.107	0.106	0.106	0.107	0.106	0.11
